1586009632593	350	261
1586009632606	346	261
1586009632609	344	261
1586009632617	339	261
1586009632626	330	259
1586009632632	320	258
1586009632640	309	256
1586009632651	298	254
1586009632656	286	253
1586009632662	272	249
1586009632670	253	244
1586009632679	236	240
1586009632686	219	236
1586009632694	201	229
1586009632702	186	223
1586009632710	172	216
1586009632718	160	209
1586009632726	151	203
1586009632735	141	195
1586009632746	134	188
1586009632753	128	182
1586009632763	123	175
1586009632768	120	167
1586009632780	119	160
1586009632784	119	154
1586009632796	119	145
1586009632797	123	136
1586009632806	128	130
1586009632813	135	121
1586009632820	144	113
1586009632830	155	105
1586009632837	167	97
1586009632846	179	90
1586009632853	192	83
1586009632863	205	77
1586009632871	221	73
1586009632880	234	69
1586009632888	249	66
1586009632894	263	64
1586009632902	276	62
1586009632909	290	61
1586009632915	302	61
1586009632920	313	61
1586009632929	323	61
1586009632944	332	61
1586009632945	340	61
1586009632952	349	61
1586009632960	356	62
1586009632968	363	66
1586009632978	370	70
1586009632984	375	73
1586009632991	379	77
1586009632999	384	83
1586009633007	388	91
1586009633015	392	100
1586009633023	394	109
1586009633032	395	119
1586009633038	397	131
1586009633047	397	142
1586009633055	397	154
1586009633063	397	166
1586009633075	397	177
1586009633081	397	190
1586009633086	395	204
1586009633092	392	218
1586009633101	387	233
1586009633108	380	247
1586009633118	371	261
1586009633124	362	273
1586009633133	352	284
1586009633141	340	295
1586009633149	327	305
1586009633155	311	315
1586009633162	288	328
1586009633170	259	341
1586009633178	231	351
1586009633186	201	358
1586009633195	175	362
1586009633202	150	365
1586009633211	133	366
1586009633218	118	366
1586009633226	103	366
1586009633234	91	366
1586009633240	83	366
1586009633248	78	366
1586009633256	73	366
1586009633264	69	366
1586009633273	67	366
1586009633295	66	366
1586009633300	63	366
1586009633307	63	365
1586009633332	63	364
1586009633341	63	363
1586009633346	63	356
1586009633356	63	353
1586009633363	65	349
1586009633372	69	344
1586009633378	77	336
1586009633387	82	330
1586009633395	90	322
1586009633403	93	317
1586009633412	98	308
1586009633432	109	286
1586009633433	114	276
1586009633440	120	265
1586009633449	125	254
1586009633456	130	244
1586009633465	136	232
1586009633473	141	221
1586009633483	145	210
1586009633488	149	200
1586009633497	153	193
1586009633502	154	187
1586009633512	154	185
1586009633518	155	183
1586009633528	156	182
1586009633534	156	181
1586009633557	157	181
1586009633678	158	181
1586009633693	159	181
1586009633701	160	181
1586009633707	162	181
1586009633715	163	181
1586009633723	164	181
1586009648283	268	216
1586009648293	273	215
1586009648299	280	214
1586009648307	287	211
1586009648313	292	209
1586009648320	300	207
1586009648329	307	204
1586009648339	313	201
1586009648346	320	197
1586009648355	324	194
1586009648361	330	189
1586009648368	335	185
1586009648379	339	180
1586009648390	343	173
1586009648394	347	167
1586009648399	349	161
1586009648407	350	156
1586009648415	351	149
1586009648423	353	143
1586009648433	355	138
1586009648438	355	134
1586009648449	355	130
1586009648455	355	129
1586009648464	355	127
1586009648471	355	125
1586009648627	354	130
1586009648635	352	137
1586009648642	352	139
1586009648649	352	144
1586009648656	350	151
1586009648665	350	160
1586009648673	350	170
1586009648684	350	180
1586009648688	351	192
1586009648698	356	202
1586009648704	363	213
1586009648713	371	224
1586009648720	379	233
1586009648726	387	243
1586009648735	393	249
1586009648743	397	253
1586009648751	401	259
1586009648758	403	261
1586009648766	404	263
1586009648927	406	264
1586009648935	407	264
1586009648950	409	264
1586009648960	414	263
1586009648980	424	257
1586009648984	429	253
1586009648991	437	248
1586009648998	441	245
1586009649005	447	240
1586009649012	452	234
1586009649021	456	232
1586009649029	459	228
1586009649036	462	225
1586009649044	466	219
1586009649052	468	216
1586009649060	470	212
1586009649066	471	211
1586009649074	473	208
1586009649082	476	201
1586009649091	477	199
1586009649099	479	192
1586009649106	480	190
1586009649120	480	185
1586009649125	481	182
1586009649131	481	179
1586009649139	483	176
1586009649155	483	175
1586009649160	483	174
